a,b,c,d,e,f,g,h,x1,x2,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135910312,.068319492,  -0.014899338603749,17952.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135029738,.066944529,  -0.014881365905157,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134189958,.068944986,  -0.014881283210688,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136885567,.068066431,  -0.014900425646247,73662.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134577304,.067228096,  -0.014882517983942,*******
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135787774,.067293420,  -0.014891234893457, 7025.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138472483,.067949757,  -0.014892786194521,31848.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135070729,.067647443,  -0.014891518393116, 5431.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136121210,.068116635,  -0.014899754900347, 5120.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134987857,.068807179,  -0.014891336871642,84980.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136124465,.067729615,  -0.014897430502080,15921.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137963097,.068971563,  -0.014896569742122,14837.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137709961,.068560081,  -0.014899383887595,35787.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135594561,.068329656,  -0.014897793701634,12928.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137840197,.069413700,  -0.014892517771758,22643.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135678189,.068655954,  -0.014897363082655,71303.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135061260,.067790610,  -0.014892571403417, 6890.0
