a,b,c,d,e,f,g,h,x1,x2,y,calls
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134749996,.068589898,  -0.014890514619330,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137900885,.068442198,  -0.014898606830358,             32758.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136320252,.067928922,  -0.014899347460755,             77666.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135476892,.067987773,  -0.014896449394202,             67944.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134035066,.068242107,  -0.014883403028305,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136463702,.066926947,  -0.014885890448836,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138418220,.068727485,  -0.014895202945406,             65032.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137869279,.068659589,  -0.014898514054461,             48265.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136531149,.066868460,  -0.014884624803083,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138445988,.068430181,  -0.014895271508126,             39745.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135264310,.067880522,  -0.014894579772643,             70826.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139037909,.068508022,  -0.014890254500271,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136630774,.069725108,  -0.014888112167778,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136262525,.069089196,  -0.014896574479941,             22417.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137587198,.069496748,  -0.014892064574161,             79207.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137004176,.067950157,  -0.014899646228963,             96333.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136047222,.070069417,  -0.014878252127977,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137048800,.068873545,  -0.014899558933726,             22316.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138441796,.068357544,  -0.014895172771187,              2533.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136284356,.068717914,  -0.014899599000389,             48066.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136255516,.070042425,  -0.014879941941723,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135086161,.068335700,  -0.014894317809494,              8283.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.140883561,.069776266,  -0.014856698246857,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137219976,.068166488,  -0.014900394524607,             55196.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.133365634,.068282865,  -0.014873592308636,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139603287,.068685715,  -0.014883986392640,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137798083,.068394373,  -0.014899049013614,             16957.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.139678432,.069560621,  -0.014876691665504,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138584936,.069581546,  -0.014886337662902,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137953707,.067369033,  -0.014889416038240,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137134942,.068518850,  -0.014900928775267,             43583.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.138655354,.068323740,  -0.014893396977056,             12417.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137767114,.068715628,  -0.014898768239297,             63999.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136410941,.067902337,  -0.014899320769837,              3152.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.134367083,.067881331,  -0.014886673802573,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135207737,.067676321,  -0.014892736555382,             45933.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136110552,.068619407,  -0.014899504815068,             41981.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137626616,.068338179,  -0.014899674402233,              5185.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135534679,.067979593,  -0.014896740385277,             94498.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.136599942,.070034552,  -0.014881385671920,            100000.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.135811756,.069310397,  -0.014891778922387,             27485.0
 10.00,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,  0.10,.137102815,.068833044,  -0.014899781151724,             29525.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.135540143,.068267730,  -0.014897484092976,               413.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136900020,.067344570,  -0.014893154850903,               167.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.136624796,.068424382,  -0.014901120671966,               146.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.138593148,.068110996,  -0.014892952255637,                79.0
 30.00,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,  0.30,.137630664,.069542861,  -0.014891258986252,                87.0
