a,b,c,d,e,f,g,h,x,y,calls
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075227078,  -0.003925325490432,   91.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078047303,  -0.003926120802581,  883.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076901640,  -0.003931844540702,  308.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077710065,  -0.003928650781033,   85.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.074963429,  -0.003922654943632,  401.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078285507,  -0.003923912758530,   17.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076062780,  -0.003930817854216,  156.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077279213,  -0.003930859770551,  644.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076064983,  -0.003930826405986,  242.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077779304,  -0.003928188531982,    1.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077184965,  -0.003931189076760,   28.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075907869,  -0.003930138825497,  276.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077626186,  -0.003929171073040,   56.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076652826,  -0.003932004443654,  240.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076214338,  -0.003931333838600,  178.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076423453,  -0.003931805714896,  652.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076929303,  -0.003931802707973,  470.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078340340,  -0.003923355335549,  392.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077993986,  -0.003926567376005,   56.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076337355,  -0.003931645079754,  173.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077364037,  -0.003930516049773,  748.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075071375,  -0.003923803084279, 1300.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.074916434,  -0.003922131319351,  110.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078214531,  -0.003924607015071,  272.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077444005,  -0.003930150993954,  383.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075621798,  -0.003928480363967,  127.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076405354,  -0.003931775852012,   95.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077728018,  -0.003928533766263,   15.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076679573,  -0.003932005966507,  175.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076918550,  -0.003931819539979,  322.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077512412,  -0.003929807182092,  479.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078067929,  -0.003925943357405,   41.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077070863,  -0.003931513505626,  842.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077111450,  -0.003931407432581,   48.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.078264189,  -0.003924124522754,  211.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.077813132,  -0.003927951929325,   25.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.076341679,  -0.003931654269724,  295.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075528201,  -0.003927823387266,  293.0
 10.00,  0.10,  0.10,  0.10,  0.50,  0.50,  0.50,  0.50,.075937415,  -0.003930280189153,   79.0
