a,b,c,d,x,y,calls
 10.00,  0.10,  0.10,  0.10,.077315679,  -0.003930717497408,  113.0
 10.00,  0.10,  0.10,  0.10,.077383767,  -0.003930429674669,  267.0
 10.00,  0.10,  0.10,  0.10,.078026563,  -0.003926296593061,  193.0
 10.00,  0.10,  0.10,  0.10,.076379602,  -0.003931729781303,   66.0
 10.00,  0.10,  0.10,  0.10,.076245638,  -0.003931422159214,   99.0
 10.00,  0.10,  0.10,  0.10,.076203329,  -0.003931301289576, 1113.0
 10.00,  0.10,  0.10,  0.10,.075334191,  -0.003926281329262,  271.0
 10.00,  0.10,  0.10,  0.10,.075948628,  -0.003930332374456,  197.0
 10.00,  0.10,  0.10,  0.10,.078080413,  -0.003925834691783,  596.0
 10.00,  0.10,  0.10,  0.10,.077647449,  -0.003929043299626,    1.0
 10.00,  0.10,  0.10,  0.10,.078435077,  -0.003922349030793, 1352.0
 10.00,  0.10,  0.10,  0.10,.075854369,  -0.003929868618722,  194.0
 10.00,  0.10,  0.10,  0.10,.076014110,  -0.003930621054615,  216.0
 10.00,  0.10,  0.10,  0.10,.077895226,  -0.003927348405923,   92.0
 10.00,  0.10,  0.10,  0.10,.076553717,  -0.003931959413168,  314.0
 10.00,  0.10,  0.10,  0.10,.075617264,  -0.003928449836280,  169.0
 10.00,  0.10,  0.10,  0.10,.077452619,  -0.003930109299317,  123.0
 10.00,  0.10,  0.10,  0.10,.076290510,  -0.003931537905939,   68.0
 10.00,  0.10,  0.10,  0.10,.075011717,  -0.003923177943537,  533.0
 10.00,  0.10,  0.10,  0.10,.076312972,  -0.003931591035546,  581.0
 10.00,  0.10,  0.10,  0.10,.078106584,  -0.003925603787057,  433.0
 10.00,  0.10,  0.10,  0.10,.075209710,  -0.003925163484127,  724.0
 10.00,  0.10,  0.10,  0.10,.076347748,  -0.003931666968859,  846.0
 10.00,  0.30,  0.30,  0.30,.076360217,  -0.003931692323480,  161.0
 10.00,  0.30,  0.30,  0.30,.075051784,  -0.003923600359722,   99.0
 10.00,  0.30,  0.30,  0.30,.077882082,  -0.003927447823590,   79.0
 10.00,  0.30,  0.30,  0.30,.077478364,  -0.003929981940995,  101.0
 10.00,  0.30,  0.30,  0.30,.076616379,  -0.003931995098608,  133.0
 10.00,  0.30,  0.30,  0.30,.077752970,  -0.003928367831530,   44.0
